transaction_id,card_id,amount,transaction_type,timestamp,store_id,terminal_id,batch_id,authorization_code,status,balance_after
TX-POS-202503110047-437309,GC-STORE-0512-3098,14.88,PURCHASE,2025-02-20 18:38:09,STORE-0512,POS-002,BATCH-STORE-0512-20250220-3,N14719,APPROVED,385.12
TX-POS-202503110047-933565,GC-STORE-0512-5419,18.99,PURCHASE,2025-02-23 17:43:25,STORE-0512,POS-003,BATCH-STORE-0512-20250223-4,S67319,APPROVED,180.98999999999998
TX-POS-202503110047-014141,GC-STORE-0512-5748,24.99,PURCHASE,2025-03-07 13:56:20,STORE-0512,POS-002,BATCH-STORE-0512-20250307-1,L45487,APPROVED,15.010000000000002
TX-POS-202503110047-651475,1620090976692438,21.31,REFUND,2025-02-15 12:33:44,STORE-0512,POS-001,BATCH-STORE-0512-20250215-5,C82944,APPROVED,121.29
TX-POS-202503110047-804419,7699984608193513,0.0,BALANCE,2025-03-11 19:25:52,STORE-0512,POS-001,BATCH-STORE-0512-20250311-4,V75596,APPROVED,30.0
TX-POS-202503110047-644530,GC-STORE-0512-5419,20.99,PURCHASE,2025-02-11 12:52:46,STORE-0512,POS-001,BATCH-STORE-0512-20250211-9,P02399,APPROVED,159.99999999999997
TX-POS-202503110047-736666,GC-STORE-0512-2090,37.99,PURCHASE,2025-03-06 13:19:47,STORE-0512,POS-003,BATCH-STORE-0512-20250306-9,Z40331,APPROVED,161.98999999999998
TX-POS-202503110047-262692,CARD-31117,18.99,PURCHASE,2025-03-01 11:24:10,STORE-0512,POS-002,BATCH-STORE-0512-20250301-9,X63714,APPROVED,81.01
TX-POS-202503110047-550271,GC-STORE-0512-4243,12.0,PURCHASE,2025-03-05 12:13:56,STORE-0512,POS-005,BATCH-STORE-0512-20250305-3,XH3450,APPROVED,27.979999999999997
TX-POS-202503110047-245004,QWHN-7671,17.99,PURCHASE,2025-02-19 11:28:35,STORE-0512,POS-005,BATCH-STORE-0512-20250219-8,C19226,APPROVED,82.01
TX-POS-202503110047-059786,MYLQ-8064,30.0,PURCHASE,2025-02-16 19:09:09,STORE-0512,POS-001,BATCH-STORE-0512-20250216-4,ME1696,APPROVED,10.0
TX-POS-202503110047-366068,AIXZ-3008,6.99,REFUND,2025-02-14 12:55:14,STORE-0512,POS-003,BATCH-STORE-0512-20250214-4,030735,APPROVED,106.97
TX-POS-202503110047-488685,CARD-23611,9.23,PURCHASE,2025-02-24 12:30:39,STORE-0512,POS-003,BATCH-STORE-0512-20250224-2,K29265,APPROVED,40.769999999999996
TX-POS-202503110047-270271,QHVG-3735,26.82,PURCHASE,2025-03-03 11:29:52,STORE-0512,POS-005,BATCH-STORE-0512-20250303-6,CJ6205,APPROVED,13.159999999999997
TX-POS-202503110047-707590,CARD-59662,10.5,PURCHASE,2025-03-01 12:18:35,STORE-0512,POS-005,BATCH-STORE-0512-20250301-4,YL3138,APPROVED,9.5
TX-POS-202503110047-569407,GC-STORE-0512-7356,80.99,PURCHASE,2025-02-20 11:45:48,STORE-0512,POS-003,BATCH-STORE-0512-20250220-7,QR7095,APPROVED,19.010000000000005
TX-POS-202503110047-110534,3898855059570486,49.99,REFUND,2025-03-10 11:01:08,STORE-0512,POS-003,BATCH-STORE-0512-20250310-9,C04000,APPROVED,249.99
TX-POS-202503110047-884976,CARD-17290,7.0,PURCHASE,2025-02-20 19:29:07,STORE-0512,POS-001,BATCH-STORE-0512-20250220-3,WN7879,APPROVED,143.0
TX-POS-202503110047-619952,SUNA-8248,47.14,REFUND,2025-02-13 11:17:43,STORE-0512,POS-001,BATCH-STORE-0512-20250213-6,S18545,APPROVED,97.14
TX-POS-202503110047-321485,TQVP-3581,12.99,PURCHASE,2025-03-07 13:12:25,STORE-0512,POS-002,BATCH-STORE-0512-20250307-5,102788,APPROVED,137.01
TX-POS-202503110047-570055,CARD-74912,21.99,PURCHASE,2025-03-09 11:08:05,STORE-0512,POS-004,BATCH-STORE-0512-20250309-6,258289,APPROVED,77.99000000000001
TX-POS-202503110047-708757,GHBM-5392,2.0,PURCHASE,2025-03-10 12:01:45,STORE-0512,POS-004,BATCH-STORE-0512-20250310-4,810101,APPROVED,398.0
TX-POS-202503110047-595660,3250234945628989,15.0,PURCHASE,2025-02-25 12:56:48,STORE-0512,POS-002,BATCH-STORE-0512-20250225-8,G73198,APPROVED,24.979999999999997
