transaction_id,reference_id,card_id,amount,transaction_type,processed_at,merchant_id,terminal_id,batch_id,authorization_code,status
TX-PROC-202503110047-437309,TX-POS-202503110047-437309,GC-STORE-0512-3098,14.88,PURCHASE,2025-02-20 23:38:18,STORE-0512,POS-002,BATCH-STORE-0512-20250220-3,N14719,SETTLED
TX-PROC-202503110047-933565,TX-POS-202503110047-933565,GC-STORE-0512-5419,18.99,PURCHASE,2025-02-23 17:43:30,STORE-0512,POS-003,BATCH-STORE-0512-20250223-4,S67319,SETTLED
TX-PROC-202503110047-014141,TX-POS-202503110047-014141,GC-STORE-0512-5748,24.99,PURCHASE,2025-03-07 13:56:25,STORE-0512,POS-002,BATCH-STORE-0512-20250307-1,L45487,SETTLED
TX-PROC-202503110047-651475,TX-POS-202503110047-651475,1620090976692438,21.31,REFUND,2025-02-15 12:33:46,STORE-0512,POS-001,BATCH-STORE-0512-20250215-5,C82944,SETTLED
TX-PROC-202503110047-804419,TX-POS-202503110047-804419,7699984608193513,0.0,BALANCE,2025-03-11 19:25:58,STORE-0512,POS-001,BATCH-STORE-0512-20250311-4,V75596,SETTLED
TX-PROC-202503110047-736666,TX-POS-202503110047-736666,GC-STORE-0512-2090,37.99,PURCHASE,2025-03-06 13:19:48,STORE-0512,POS-003,BATCH-STORE-0512-20250306-9,Z40331,SETTLED
TX-PROC-202503110047-262692,TX-POS-202503110047-262692,CARD-31117,18.99,PURCHASE,2025-03-01 11:24:20,STORE-0512,POS-002,BATCH-STORE-0512-20250301-9,X63714,SETTLED
TX-PROC-202503110047-550271,TX-POS-202503110047-550271,GC-STORE-0512-4243,12.0,PURCHASE,2025-03-05 12:14:05,STORE-0512,POS-005,BATCH-STORE-0512-20250305-3,XH3450,SETTLED
TX-PROC-202503110047-245004,TX-POS-202503110047-245004,QWHN-7671,17.99,PURCHASE,2025-02-19 11:28:42,STORE-0512,POS-005,BATCH-STORE-0512-20250219-8,C19226,SETTLED
TX-PROC-202503110047-059786,TX-POS-202503110047-059786,MYLQ-8064,30.0,PURCHASE,2025-02-16 19:09:17,STORE-0512,POS-001,BATCH-STORE-0512-20250216-4,ME1696,SETTLED
TX-PROC-202503110047-366068,TX-POS-202503110047-366068,AIXZ-3008,6.99,REFUND,2025-02-14 12:55:24,STORE-0512,POS-003,BATCH-STORE-0512-20250214-4,030735,SETTLED
